"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"350870 Caconde";1322;1247;1396;1506;1484;1392;1301;1291;1176;1273;1274;1092;901;785;534;435;479;18888
"350880 Cafelândia";1147;1140;1095;1244;1346;1388;1402;1336;1206;1134;1079;1007;871;653;500;405;493;17446
"350890 Caiabu";256;253;267;300;333;353;288;256;291;330;306;236;197;153;135;108;122;4184
"350900 Caieiras";7422;7106;7228;7998;8000;8391;8223;7733;7139;6772;5946;4656;3501;2451;1473;914;1005;95958
"350910 Caiuá";331;334;385;395;394;434;393;348;452;422;458;309;287;207;164;132;123;5568
"350920 Cajamar";6064;5715;5845;6393;6395;6761;6566;5994;5234;4476;3797;2992;2158;1421;985;611;613;72020
"350925 Cajati";2598;2349;2343;2516;2402;2171;2157;2220;1944;1703;1544;1291;1095;804;662;467;514;28780
"350930 Cajobi";590;603;700;691;855;940;903;713;689;685;702;578;490;394;295;234;252;10314
"350940 Cajuru";1863;1810;1837;1988;2133;2136;2006;1844;1682;1621;1503;1308;1000;825;601;468;589;25214
"350945 Campina do Monte Alegre";448;421;464;470;450;458;459;414;393;395;391;288;267;202;131;112;124;5887
"350950 Campinas";72471;72050;74627;84452;87729;100886;105840;96994;84052;78786;72270;65493;52978;40254;28189;20814;25165;1163050
"350960 Campo Limpo Paulista";6160;5967;5894;6301;6663;7017;7110;6339;5835;5247;4854;4272;3428;2294;1471;991;1045;80888
"350970 Campos do Jordão";3837;3613;3869;4289;4320;4179;4166;4090;3819;3537;3083;2546;1865;1369;864;634;671;50751
"350980 Campos Novos Paulista";375;362;373;374;372;339;371;348;306;316;313;217;224;180;154;89;117;4830
"350990 Cananéia";1029;930;950;1061;999;875;863;968;838;737;730;670;578;439;347;236;287;12537
"350995 Canas";461;447;414;407;402;421;405;338;300;302;285;201;171;104;88;51;64;4861
"351000 Cândido Mota";2072;2044;1980;2200;2371;2589;2287;2196;2118;2195;2114;1859;1509;1154;871;644;799;31002
"351010 Cândido Rodrigues";133;143;177;154;188;259;194;181;177;198;217;183;123;151;104;83;103;2768
"351015 Canitar";438;410;488;446;391;387;405;378;337;255;265;200;171;124;83;67;53;4898
"351020 Capão Bonito";3661;3421;3743;3905;3953;3726;3603;3580;3295;2981;2721;2372;1945;1562;1137;791;828;47224
"351030 Capela do Alto";1480;1390;1580;1662;1677;1727;1553;1516;1355;1260;1130;953;729;600;385;276;253;19526
"351040 Capivari";3972;3876;3985;4094;4386;4693;4528;4288;3763;3579;3063;2625;2046;1473;1066;767;986;53190
"351050 Caraguatatuba";8840;8249;8428;8978;8900;8961;9121;9140;8222;7535;6519;5904;5027;3732;2629;1712;1797;113694
"351060 Carapicuíba";31128;29618;31118;32734;31379;34295;35963;32612;28739;25041;20954;18081;15011;10501;6507;3983;3741;391405
